timestamp,symbol,branch,imbalance,spread_percent,raw_strength,expected_return_percent,future_return_percent,directional_gate
0,BTC-USD,ml,0.62,0.05,0.4780358009429998,0.27782148056579986,0.21427643393510493,sell
1,ETH-USD,baseline,2.05,0.28,0.7178397931503168,0.38030387589019005,0.24918482832893385,buy
2,SOL-USD,baseline,1.22,0.09,0.19885085874516517,0.1031105152470991,0.10444128601729194,buy
3,BTC-USD,baseline,1.38,0.025,0.3220834991691132,0.18875009950146793,0.18157560138546439,buy
4,ETH-USD,ml,0.62,0.09,0.4780358009429998,0.2706214805657999,-0.207307026123066,sell
5,SOL-USD,baseline,2.05,0.09,0.7178397931503168,0.41450387589019005,0.23514744520828257,buy
6,BTC-USD,baseline,0.48,0.05,0.7339691750802004,0.43138150504812023,-0.21808124016624958,sell
7,ETH-USD,baseline,1.62,0.025,0.4824261492442928,0.28495568954657563,0.09775344932374422,buy
8,SOL-USD,ml,0.48,0.28,0.7339691750802004,0.38998150504812024,-0.10894900618438262,sell
9,BTC-USD,baseline,0.48,0.16,0.7339691750802004,0.41158150504812024,-0.19445598190386149,sell
10,ETH-USD,baseline,0.48,0.28,0.7339691750802004,0.38998150504812024,-0.1493616570243445,sell
11,SOL-USD,baseline,1.38,0.025,0.3220834991691132,0.18875009950146793,0.11322482121775047,buy
12,BTC-USD,ml,0.62,0.09,0.4780358009429998,0.2706214805657999,-0.1802943578237744,sell
13,ETH-USD,baseline,0.62,0.05,0.4780358009429998,0.27782148056579986,-0.12310603182880188,sell
14,SOL-USD,baseline,1.38,0.16,0.3220834991691132,0.16445009950146794,0.038872344902386766,buy
15,BTC-USD,baseline,0.78,0.16,0.2484613592984996,0.12027681557909978,-0.09221751067625439,sell
16,ETH-USD,ml,1.22,0.05,0.19885085874516517,0.1103105152470991,0.09431188008441954,buy
17,SOL-USD,baseline,0.62,0.09,0.4780358009429998,0.2706214805657999,0.27930355365734016,sell
18,BTC-USD,baseline,0.78,0.28,0.2484613592984996,0.09867681557909977,0.0014520674500617808,sell
19,ETH-USD,baseline,1.38,0.025,0.3220834991691132,0.18875009950146793,0.08318496821994742,buy
20,SOL-USD,ml,0.78,0.025,0.2484613592984996,0.14457681557909977,-0.1054270015520099,sell
21,BTC-USD,baseline,0.48,0.16,0.7339691750802004,0.41158150504812024,-0.2891450208365635,sell
22,ETH-USD,baseline,2.05,0.16,0.7178397931503168,0.40190387589019005,0.17692926402259862,buy
23,SOL-USD,baseline,1.38,0.05,0.3220834991691132,0.18425009950146792,0.13634774060536067,buy
